"","X","Year","Ceremony","Category","Nominee","Additional.Info","Won.Academy.Award","Film","Artist","Film.ID"
"4",4,2010,"2010 (83rd)","Actor -- Leading Role","Colin Firth","The King's Speech {'King George VI'}","YES","The King's Speech","Colin Firth","The King's Speech (2010)"
"6",6,2010,"2010 (83rd)","Actor -- Supporting Role","Christian Bale","The Fighter {'Dicky Eklund'}","YES","The Fighter","Christian Bale","The Fighter (2010)"
"14",14,2010,"2010 (83rd)","Actress -- Leading Role","Natalie Portman","Black Swan {'Nina Sayers/The Swan Queen'}","YES","Black Swan","Natalie Portman","Black Swan (2010)"
"18",18,2010,"2010 (83rd)","Actress -- Supporting Role","Melissa Leo","The Fighter {'Alice Ward'}","YES","The Fighter","Melissa Leo","The Fighter (2010)"
"23",23,2010,"2010 (83rd)","Animated Feature Film","Toy Story 3","Lee Unkrich","YES","Toy Story 3","Lee Unkrich","Toy Story 3 (2010)"
"24",24,2010,"2010 (83rd)","Art Direction","Alice in Wonderland","Production Design: Robert Stromberg; Set Decoration: Karen O'Hara","YES","Alice in Wonderland","Production Design: Robert Stromberg; Set Decoration: Karen O'Hara","Alice in Wonderland (2010)"
"30",30,2010,"2010 (83rd)","Cinematography","Inception","Wally Pfister","YES","Inception","Wally Pfister","Inception (2010)"
"34",34,2010,"2010 (83rd)","Costume Design","Alice in Wonderland","Colleen Atwood","YES","Alice in Wonderland","Colleen Atwood","Alice in Wonderland (2010)"
"41",41,2010,"2010 (83rd)","Directing","The King's Speech","Tom Hooper","YES","The King's Speech","Tom Hooper","The King's Speech (2010)"
"46",46,2010,"2010 (83rd)","Documentary (Feature)","Inside Job","Charles Ferguson and Audrey Marrs","YES","Inside Job","Charles Ferguson and Audrey Marrs","Inside Job (2010)"
"51",51,2010,"2010 (83rd)","Documentary (Short Subject)","Strangers No More","Karen Goodman and Kirk Simon","YES","Strangers No More","Karen Goodman and Kirk Simon","Strangers No More (2010)"
"58",58,2010,"2010 (83rd)","Film Editing","The Social Network","Angus Wall and Kirk Baxter","YES","The Social Network","Angus Wall and Kirk Baxter","The Social Network (2010)"
"61",61,2010,"2010 (83rd)","Foreign Language Film","In a Better World","Denmark","YES","In a Better World","Denmark","In a Better World (2010)"
"66",66,2010,"2010 (83rd)","Makeup","The Wolfman","Rick Baker and Dave Elsey","YES","The Wolfman","Rick Baker and Dave Elsey","The Wolfman (2010)"
"71",71,2010,"2010 (83rd)","Music (Scoring)","The Social Network","Trent Reznor and Atticus Ross","YES","The Social Network","Trent Reznor and Atticus Ross","The Social Network (2010)"
"75",75,2010,"2010 (83rd)","Music (Song)","Toy Story 3","Music and Lyric by Randy Newman","YES","Toy Story 3","Music and Lyric by Randy Newman","Toy Story 3 (2010)"
"80",80,2010,"2010 (83rd)","Best Picture","The King's Speech","Iain Canning, Emile Sherman and Gareth Unwin, Producers","YES","The King's Speech","Iain Canning, Emile Sherman and Gareth Unwin, Producers","The King's Speech (2010)"
"89",89,2010,"2010 (83rd)","Short Film (Animated)","The Lost Thing","Shaun Tan and Andrew Ruhemann","YES","The Lost Thing","Shaun Tan and Andrew Ruhemann","The Lost Thing (2010)"
"93",93,2010,"2010 (83rd)","Short Film (Live Action)","God of Love","Luke Matheny","YES","God of Love","Luke Matheny","God of Love (2010)"
"96",96,2010,"2010 (83rd)","Sound","Inception","Lora Hirschberg, Gary A. Rizzo and Ed Novick","YES","Inception","Lora Hirschberg, Gary A. Rizzo and Ed Novick","Inception (2010)"
"101",101,2010,"2010 (83rd)","Sound Editing","Inception","Richard King","YES","Inception","Richard King","Inception (2010)"
"109",109,2010,"2010 (83rd)","Visual Effects","Inception","Paul Franklin, Chris Corbould, Andrew Lockley and Peter Bebb","YES","Inception","Paul Franklin, Chris Corbould, Andrew Lockley and Peter Bebb","Inception (2010)"
"112",112,2010,"2010 (83rd)","Writing","The Social Network","Screenplay by Aaron Sorkin","YES","The Social Network","Screenplay by Aaron Sorkin","The Social Network (2010)"
"120",120,2010,"2010 (83rd)","Writing","The King's Speech","Screenplay by David Seidler","YES","The King's Speech","Screenplay by David Seidler","The King's Speech (2010)"
"121",121,2010,"2010 (83rd)","Honorary Award","To Kevin Brownlow for the wise and devoted chronicling of the cinematic parade.","","YES",NA,NA,NA
"122",122,2010,"2010 (83rd)","Honorary Award","To Jean-Luc Godard for passion. For confrontation. For a new kind of cinema.","","YES",NA,NA,NA
"123",123,2010,"2010 (83rd)","Honorary Award","To Eli Wallach for a lifetime's worth of indelible screen characters.","","YES",NA,NA,NA
"124",124,2010,"2010 (83rd)","Irving G. Thalberg Memorial Award","Francis Ford Coppola","","YES",NA,NA,NA
"125",125,2010,"2010 (83rd)","Scientific and Technical (Scientific and Engineering Award)","To DR. MARK SAGAR for his early and continuing development of influential facial motion retargeting solutions. Dr. Sagar's work led to a method for transforming facial motion capture data into an expression-based, editable character animation system that has been used in motion pictures with a high volume of digital characters. [Digital Imaging Technology]","","YES",NA,NA,NA
"126",126,2010,"2010 (83rd)","Scientific and Technical (Scientific and Engineering Award)","To MARK NOEL for the design, engineering, and development, and to JOHN FRAZIER for his contributions to the design and safety features, of the NAC Servo Winch System. The NAC System allows full-size cars, aircraft and other heavy props to be flown on wires with unprecedented freedom of motion and a high degree of safety, on-set and in real time. The intuitive control system responds to the motion of the operator's hand, permitting the recording and playback of all axes of motion simultaneously, which may be edited and refined for playback in subsequent takes. [Stage Operations]","","YES",NA,NA,NA
"127",127,2010,"2010 (83rd)","Scientific and Technical (Scientific and Engineering Award)","To JAMES RODNUNSKY, ALEX MacDONALD and MARK CHAPMAN for the development of the Cablecam 3-D volumetric suspended cable camera technologies. The evolution of the Cablecam technology has made it possible to move a camera safely and accurately anywhere through a three-dimensional space. [Camera Cranes]","","YES",NA,NA,NA
"128",128,2010,"2010 (83rd)","Scientific and Technical (Scientific and Engineering Award)","To TIM DRNEC, BEN BRITTEN SMITH and MATT DAVIS for the development of the Spydercam 3-D volumetric suspended cable camera technologies. The evolution of the Spydercam technology has made it possible to move a camera safely and accurately anywhere through a three-dimensional space. [Camera Cranes]","","YES",NA,NA,NA
"129",129,2010,"2010 (83rd)","Scientific and Technical (Technical Achievement Award)","To GREG ERCOLANO for the design and engineering of a series of software systems culminating in the Rush render queue management system. Mr. Ercolano's work has been influential across the industry, and has enabled scalable render farms at numerous studios. [Digital Imaging Technology]","","YES",NA,NA,NA
"130",130,2010,"2010 (83rd)","Scientific and Technical (Technical Achievement Award)","To DAVID M. LAUR for the development of the Alfred render queue management system. This system was the first robust, scalable, widely adopted commercial solution for queue management in the motion picture industry. Its user interface and support for multi-machine assignment influenced the design of modern day queue management tools. [Digital Imaging Technology]","","YES",NA,NA,NA
"131",131,2010,"2010 (83rd)","Scientific and Technical (Technical Achievement Award)","To CHRIS ALLEN, GAUTHAM KRISHNAMURTI, MARK A. BROWN and LANCE KIMES for the development of Queue, a robust, scalable approach to render queue management. Queue was one of the first systems that allowed for statistical analysis and process introspection, providing a framework for the efficient use of render farms. [Digital Imaging Technology]","","YES",NA,NA,NA
"132",132,2010,"2010 (83rd)","Scientific and Technical (Technical Achievement Award)","To FLORIAN KAINZ for the design and development of the robust, highly scalable distributed architecture of the ObaQ render queue management system. ObaQ has scaled from managing a few hundred processors in 1997 to many thousands today, with minimal changes to the original design. [Digital Imaging Technology]","","YES",NA,NA,NA
"134",134,2010,"2010 (83rd)","Scientific and Technical (Technical Achievement Award)","To TONY CLARK, ALAN ROGERS, NEIL WILSON and RORY McGREGOR for the software design and continued development of cineSync, a tool for remote collaboration and review of visual effects. Easy to use, cineSync has become a widely accepted solution for remote production collaboration. [Systems]","","YES",NA,NA,NA
"135",135,2010,"2010 (83rd)","Scientific and Technical (Bonner Medal)","To Denny Clairmont in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.","","YES",NA,NA,NA
"136",136,2009,"2009 (82nd)","Actor -- Leading Role","Jeff Bridges","Crazy Heart {'Bad Blake'}","YES","Crazy Heart","Jeff Bridges","Crazy Heart (2009)"
"145",145,2009,"2009 (82nd)","Actor -- Supporting Role","Christoph Waltz","Inglourious Basterds {'Col. Hans Landa'}","YES","Inglourious Basterds","Christoph Waltz","Inglourious Basterds (2009)"
"146",146,2009,"2009 (82nd)","Actress -- Leading Role","Sandra Bullock","The Blind Side {'Leigh Anne Tuohy'}","YES","The Blind Side","Sandra Bullock","The Blind Side (2009)"
"155",155,2009,"2009 (82nd)","Actress -- Supporting Role","Mo'Nique","Precious: Based on the Novel 'Push' by Sapphire {'Mary'}","YES","Precious: Based on the Novel 'Push' by Sapphire","Mo'Nique","Precious: Based on the Novel 'Push' by Sapphire (2009)"
"160",160,2009,"2009 (82nd)","Animated Feature Film","Up","Pete Docter","YES","Up","Pete Docter","Up (2009)"
"161",161,2009,"2009 (82nd)","Art Direction","Avatar","Production Design: Rick Carter and Robert Stromberg; Set Decoration: Kim Sinclair","YES","Avatar","Production Design: Rick Carter and Robert Stromberg; Set Decoration: Kim Sinclair","Avatar (2009)"
"166",166,2009,"2009 (82nd)","Cinematography","Avatar","Mauro Fiore","YES","Avatar","Mauro Fiore","Avatar (2009)"
"175",175,2009,"2009 (82nd)","Costume Design","The Young Victoria","Sandy Powell","YES","The Young Victoria","Sandy Powell","The Young Victoria (2009)"
"177",177,2009,"2009 (82nd)","Directing","The Hurt Locker","Kathryn Bigelow","YES","The Hurt Locker","Kathryn Bigelow","The Hurt Locker (2009)"
"182",182,2009,"2009 (82nd)","Documentary (Feature)","The Cove","Louie Psihoyos and Fisher Stevens","YES","The Cove","Louie Psihoyos and Fisher Stevens","The Cove (2009)"
"189",189,2009,"2009 (82nd)","Documentary (Short Subject)","Music by Prudence","Roger Ross Williams and Elinor Burkett","YES","Music by Prudence","Roger Ross Williams and Elinor Burkett","Music by Prudence (2009)"
"193",193,2009,"2009 (82nd)","Film Editing","The Hurt Locker","Bob Murawski and Chris Innis","YES","The Hurt Locker","Bob Murawski and Chris Innis","The Hurt Locker (2009)"
"199",199,2009,"2009 (82nd)","Foreign Language Film","The Secret in Their Eyes","Argentina","YES","The Secret in Their Eyes","Argentina","The Secret in Their Eyes (2009)"
"202",202,2009,"2009 (82nd)","Makeup","Star Trek","Barney Burman, Mindy Hall and Joel Harlow","YES","Star Trek","Barney Burman, Mindy Hall and Joel Harlow","Star Trek (2009)"
"208",208,2009,"2009 (82nd)","Music (Scoring)","Up","Michael Giacchino","YES","Up","Michael Giacchino","Up (2009)"
"213",213,2009,"2009 (82nd)","Music (Song)","Crazy Heart","Music and Lyric by Ryan Bingham and T Bone Burnett","YES","Crazy Heart","Music and Lyric by Ryan Bingham and T Bone Burnett","Crazy Heart (2009)"
"218",218,2009,"2009 (82nd)","Best Picture","The Hurt Locker","Kathryn Bigelow, Mark Boal, Nicolas Chartier and Greg Shapiro, Producers","YES","The Hurt Locker","Kathryn Bigelow, Mark Boal, Nicolas Chartier and Greg Shapiro, Producers","The Hurt Locker (2009)"
"227",227,2009,"2009 (82nd)","Short Film (Animated)","Logorama","Nicolas Schmerkin","YES","Logorama","Nicolas Schmerkin","Logorama (2009)"
"233",233,2009,"2009 (82nd)","Short Film (Live Action)","The New Tenants","Joachim Back and Tivi Magnusson","YES","The New Tenants","Joachim Back and Tivi Magnusson","The New Tenants (2009)"
"235",235,2009,"2009 (82nd)","Sound","The Hurt Locker","Paul N.J. Ottosson and Ray Beckett","YES","The Hurt Locker","Paul N.J. Ottosson and Ray Beckett","The Hurt Locker (2009)"
"240",240,2009,"2009 (82nd)","Sound Editing","The Hurt Locker","Paul N.J. Ottosson","YES","The Hurt Locker","Paul N.J. Ottosson","The Hurt Locker (2009)"
"244",244,2009,"2009 (82nd)","Visual Effects","Avatar","Joe Letteri, Stephen Rosenbaum, Richard Baneham and Andrew R. Jones","YES","Avatar","Joe Letteri, Stephen Rosenbaum, Richard Baneham and Andrew R. Jones","Avatar (2009)"
"250",250,2009,"2009 (82nd)","Writing","Precious: Based on the Novel 'Push' by Sapphire","Screenplay by Geoffrey Fletcher","YES","Precious: Based on the Novel 'Push' by Sapphire","Screenplay by Geoffrey Fletcher","Precious: Based on the Novel 'Push' by Sapphire (2009)"
"252",252,2009,"2009 (82nd)","Writing","The Hurt Locker","Written by Mark Boal","YES","The Hurt Locker","Written by Mark Boal","The Hurt Locker (2009)"
"257",257,2009,"2009 (82nd)","Honorary Award","To Lauren Bacall in recognition of her central place in the golden age of motion pictures.","","YES",NA,NA,NA
"258",258,2009,"2009 (82nd)","Honorary Award","To Roger Corman for his rich engendering of films and filmmakers.","","YES",NA,NA,NA
"259",259,2009,"2009 (82nd)","Honorary Award","To Gordon Willis for unsurpassed mastery of light, shadow, color and motion.","","YES",NA,NA,NA
"260",260,2009,"2009 (82nd)","Irving G. Thalberg Memorial Award","John Calley","","YES",NA,NA,NA
"261",261,2009,"2009 (82nd)","Scientific and Technical (Scientific and Engineering Award)","To PER CHRISTENSEN, MICHAEL BUNNELL and CHRISTOPHE HERY for the development of point-based rendering for indirect illumination and ambient occlusion. Much faster than previous ray-traced methods, this computer graphics technique has enabled color bleeding effects and realistic shadows for complex scenes in motion pictures. [Digital Imaging Technology]","","YES",NA,NA,NA
"262",262,2009,"2009 (82nd)","Scientific and Technical (Scientific and Engineering Award)","To DR. RICHARD KIRK for the overall design and development of the Truelight real-time 3D look-up table hardware device and color management software. Through the use of color management software and hardware, this complete system enables accurate color presentation in the digital intermediate preview process. The Truelight system is widely utilized in digital intermediate production environments around the world. [Laboratory]","","YES",NA,NA,NA
"263",263,2009,"2009 (82nd)","Scientific and Technical (Scientific and Engineering Award)","To VOLKER MASSMANN, MARKUS HASENZAHL, DR. KLAUS ANDERLE and ANDREAS LOEW for the development of the Spirit 4K/2K film scanning system as used in the digital intermediate process for motion pictures. The Spirit 4K/2K has distinguished itself by incorporating a continuous-motion transport mechanism enabling full-range, high-resolution scanning at much higher frame rates than non-continuous transport scanners. [Laboratory]","","YES",NA,NA,NA
"264",264,2009,"2009 (82nd)","Scientific and Technical (Scientific and Engineering Award)","To MICHAEL CIESLINSKI, DR. REIMAR LENZ and BERND BRAUNER for the development of the ARRISCAN film scanner, enabling high-resolution, high-dynamic range, pin-registered film scanning for use in the digital intermediate process. The ARRISCAN film scanner utilizes a specially designed CMOS array sensor mounted on a micro-positioning platform and a custom LED light source. Capture of the film's full dynamic range at various scan resolutions is implemented through sub-pixel offsets of the sensor along with multiple exposures of each frame. [Laboratory]","","YES",NA,NA,NA
"265",265,2009,"2009 (82nd)","Scientific and Technical (Scientific and Engineering Award)","To WOLFGANG LEMPP, THEO BROWN, TONY SEDIVY and DR. JOHN QUARTEL for the development of the Northlight film scanner, which enables high-resolution, pin-registered scanning in the motion picture digital intermediate process. Developed for the digital intermediate and motion picture visual effects markets, the Northlight scanner was designed with a 6K CCD sensor, making it unique in its ability to produce high-resolution scans of 35mm, 8-perf film frames. [Laboratory]","","YES",NA,NA,NA
"266",266,2009,"2009 (82nd)","Scientific and Technical (Scientific and Engineering Award)","To STEVE CHAPMAN, MARTIN TLASKAL, DARRIN SMART and DR. JAMES LOGIE for their contributions to the development of the Baselight color correction system, which enables real-time digital manipulation of motion picture imagery during the digital intermediate process. Baselight was one of the first digital color correction systems to enter the digital intermediate market and has seen wide acceptance in the motion picture industry. [Laboratory]","","YES",NA,NA,NA
"267",267,2009,"2009 (82nd)","Scientific and Technical (Scientific and Engineering Award)","To MARK JASZBERENYI, GYULA PRISKIN and TAMAS PERLAKI for their contributions to the development of the Lustre color correction system, which enables real-time digital manipulation of motion picture imagery during the digital intermediate process. Lustre is a software solution that enables non-linear, real-time digital color grading across an entire feature film, emulating the photochemical color-timing process. [Laboratory]","","YES",NA,NA,NA
"268",268,2009,"2009 (82nd)","Scientific and Technical (Scientific and Engineering Award)","To BRAD WALKER, D. SCOTT DEWALD, BILL WERNER and GREG PETTITT for their contributions furthering the design and refinement of the Texas Instruments DLP Projector technology, achieving a level of performance that enabled color-accurate digital intermediate previews of motion pictures. Working in conjunction with the film industry, Texas Instruments created a high-resolution, color-accurate, high-quality digital intermediate projection system that could closely emulate film-based projection in a theatrical environment. [Projection]","","YES",NA,NA,NA
"269",269,2009,"2009 (82nd)","Scientific and Technical (Scientific and Engineering Award)","To FUJIFILM CORPORATION, RYOJI NISHIMURA, MASAAKI MIKI and YOUICHI HOSOYA for the design and development of Fujicolor ETERNA-RDI digital intermediate film, which was designed exclusively to reproduce motion picture digital masters. The Fujicolor ETERNA-RDI Type 8511/4511 digital intermediate film has thinner emulsion layers with extremely efficient couplers made possible by Super-Nano Cubic Grain Technology. This invention allows improved color sensitivity with the ability to absorb scattered light, providing extremely sharp images. The ETERNA-RDI emulsion technology also achieves less color cross-talk for exacting reproduction. Its expanded latitude and linearity provides superior highlights and shadows in a film stock with exceptional latent image stability. [Film]","","YES",NA,NA,NA
"270",270,2009,"2009 (82nd)","Scientific and Technical (Scientific and Engineering Award)","To PAUL DEBEVEC, TIM HAWKINS, JOHN MONOS and DR. MARK SAGAR for the design and engineering of the Light Stage capture devices and the image-based facial rendering system developed for character relighting in motion pictures. The combination of these systems, with their ability to capture high fidelity reflectance data of human subjects, allows for the creation of photorealistic digital faces as they would appear in any lighting condition. [Digital Imaging Technology]","","YES",NA,NA,NA
"271",271,2009,"2009 (82nd)","Scientific and Technical (Technical Achievement Award)","To MARK WOLFORTH and TONY SEDIVY for their contributions to the development of the Truelight real-time 3D look-up table hardware system. Through the use of color management software and hardware, this complete system enables accurate color presentation in the digital intermediate preview process. The Truelight system is widely utilized in digital intermediate production environments around the world. [Laboratory]","","YES",NA,NA,NA
"272",272,2009,"2009 (82nd)","Scientific and Technical (Technical Achievement Award)","To DR. KLAUS ANDERLE, CHRISTIAN BAEKER and FRANK BILLASCH for their contributions to the LUTher 3D look-up table hardware device and color management software. The LUTher system was one of the first color look-up table processors to be widely adopted by the pioneering digital intermediate facilities in the industry. This innovation enabled accurate color presentation by facilities that had analyzed projected film output and built 3D look-up tables in order to emulate print film. [Laboratory]","","YES",NA,NA,NA
"273",273,2009,"2009 (82nd)","Scientific and Technical (Technical Achievement Award)","To STEVE SULLIVAN, KEVIN WOOLEY, BRETT ALLEN and COLIN DAVIDSON for the development of the Imocap on-set performance capture system. Developed at Industrial Light & Magic and consisting of custom hardware and software, Imocap is an innovative system that successfully addresses the need for on-set, low-impact performance capture. [Digital Imaging Technology]","","YES",NA,NA,NA
"274",274,2009,"2009 (82nd)","Scientific and Technical (Technical Achievement Award)","To HAYDEN LANDIS, KEN McGAUGH and HILMAR KOCH for advancing the technique of ambient occlusion rendering. Ambient occlusion has enabled a new level of realism in synthesized imagery and has become a standard tool for computer graphics lighting in motion pictures. [Digital Imaging Technology]","","YES",NA,NA,NA
"275",275,2009,"2009 (82nd)","Scientific and Technical (Technical Achievement Award)","To BJÖRN HEDÉN for the design and mechanical engineering of the silent, two-stage planetary friction drive Hedén Lens Motors. Solving a series of problems with one integrated mechanism, this device had an immediate and significant impact on the motion picture industry. [Photography]","","YES",NA,NA,NA
"278",278,2008,"2008 (81st)","Actor -- Leading Role","Sean Penn","Milk {'Harvey Milk'}","YES","Milk","Sean Penn","Milk (2008)"
"284",284,2008,"2008 (81st)","Actor -- Supporting Role","Heath Ledger","The Dark Knight {'Joker'}","YES","The Dark Knight","Heath Ledger","The Dark Knight (2008)"
"290",290,2008,"2008 (81st)","Actress -- Leading Role","Kate Winslet","The Reader {'Hanna Schmitz'}","YES","The Reader","Kate Winslet","The Reader (2008)"
"292",292,2008,"2008 (81st)","Actress -- Supporting Role","Penélope Cruz","Vicky Cristina Barcelona {'Maria Elena'}","YES","Vicky Cristina Barcelona","Penélope Cruz","Vicky Cristina Barcelona (2008)"
"298",298,2008,"2008 (81st)","Animated Feature Film","WALL-E","Andrew Stanton","YES","WALL-E","Andrew Stanton","WALL-E (2008)"
"300",300,2008,"2008 (81st)","Art Direction","The Curious Case of Benjamin Button","Art Direction: Donald Graham Burt; Set Decoration: Victor J. Zolfo","YES","The Curious Case of Benjamin Button","Art Direction: Donald Graham Burt; Set Decoration: Victor J. Zolfo","The Curious Case of Benjamin Button (2008)"
"308",308,2008,"2008 (81st)","Cinematography","Slumdog Millionaire","Anthony Dod Mantle","YES","Slumdog Millionaire","Anthony Dod Mantle","Slumdog Millionaire (2008)"
"311",311,2008,"2008 (81st)","Costume Design","The Duchess","Michael O'Connor","YES","The Duchess","Michael O'Connor","The Duchess (2008)"
"318",318,2008,"2008 (81st)","Directing","Slumdog Millionaire","Danny Boyle","YES","Slumdog Millionaire","Danny Boyle","Slumdog Millionaire (2008)"
"322",322,2008,"2008 (81st)","Documentary (Feature)","Man on Wire","James Marsh and Simon Chinn","YES","Man on Wire","James Marsh and Simon Chinn","Man on Wire (2008)"
"326",326,2008,"2008 (81st)","Documentary (Short Subject)","Smile Pinki","Megan Mylan","YES","Smile Pinki","Megan Mylan","Smile Pinki (2008)"
"332",332,2008,"2008 (81st)","Film Editing","Slumdog Millionaire","Chris Dickens","YES","Slumdog Millionaire","Chris Dickens","Slumdog Millionaire (2008)"
"335",335,2008,"2008 (81st)","Foreign Language Film","Departures","Japan","YES","Departures","Japan","Departures (2008)"
"338",338,2008,"2008 (81st)","Makeup","The Curious Case of Benjamin Button","Greg Cannom","YES","The Curious Case of Benjamin Button","Greg Cannom","The Curious Case of Benjamin Button (2008)"
"344",344,2008,"2008 (81st)","Music (Scoring)","Slumdog Millionaire","A.R. Rahman","YES","Slumdog Millionaire","A.R. Rahman","Slumdog Millionaire (2008)"
"347",347,2008,"2008 (81st)","Music (Song)","Slumdog Millionaire","Music by A.R. Rahman; Lyric by Gulzar","YES","Slumdog Millionaire","Music by A.R. Rahman; Lyric by Gulzar","Slumdog Millionaire (2008)"
"353",353,2008,"2008 (81st)","Best Picture","Slumdog Millionaire","Christian Colson, Producer","YES","Slumdog Millionaire","Christian Colson, Producer","Slumdog Millionaire (2008)"
"354",354,2008,"2008 (81st)","Short Film (Animated)","La Maison en Petits Cubes","Kunio Kato","YES","La Maison en Petits Cubes","Kunio Kato","La Maison en Petits Cubes (2008)"
"363",363,2008,"2008 (81st)","Short Film (Live Action)","Spielzeugland (Toyland)","Jochen Alexander Freydank","YES","Spielzeugland (Toyland)","Jochen Alexander Freydank","Spielzeugland (Toyland) (2008)"
"366",366,2008,"2008 (81st)","Sound","Slumdog Millionaire","Ian Tapp, Richard Pryke and Resul Pookutty","YES","Slumdog Millionaire","Ian Tapp, Richard Pryke and Resul Pookutty","Slumdog Millionaire (2008)"
"369",369,2008,"2008 (81st)","Sound Editing","The Dark Knight","Richard King","YES","The Dark Knight","Richard King","The Dark Knight (2008)"
"374",374,2008,"2008 (81st)","Visual Effects","The Curious Case of Benjamin Button","Eric Barba, Steve Preeg, Burt Dalton and Craig Barron","YES","The Curious Case of Benjamin Button","Eric Barba, Steve Preeg, Burt Dalton and Craig Barron","The Curious Case of Benjamin Button (2008)"
"381",381,2008,"2008 (81st)","Writing","Slumdog Millionaire","Screenplay by Simon Beaufoy","YES","Slumdog Millionaire","Screenplay by Simon Beaufoy","Slumdog Millionaire (2008)"
"385",385,2008,"2008 (81st)","Writing","Milk","Written by Dustin Lance Black","YES","Milk","Written by Dustin Lance Black","Milk (2008)"
"387",387,2008,"2008 (81st)","Jean Hersholt Humanitarian Award","Jerry Lewis","","YES",NA,NA,NA
"388",388,2008,"2008 (81st)","Scientific and Technical (Scientific and Engineering Award)","To ERWIN MELZNER for the overall concept including the optical and cooling systems, VOLKER SCHUMACHER for the optical design, and TIMO MÜLLER for the mechanical design, of the Arrimax 18/12 lighting fixture for use in motion picture production. With its choice of vari-focus and specular reflectors, the superior optical and mechanical design of this lighting fixture allows it to operate at 18,000 watts, producing unsurpassed light quality while its innovative cooling system keeps the housing safe to touch. [Lighting]","","YES",NA,NA,NA
"389",389,2008,"2008 (81st)","Scientific and Technical (Scientific and Engineering Award)","To JACQUES DELACOUX for the concept and electronic design, and ALEXANDRE LEUCHTER for the software and electronic design, of the Transvideo video-assist monitors for the motion picture industry. Using color LCD screens, the Transvideo monitors provide flicker-free video assist bright enough for use in sunlight and have become a ubiquitous tool in both spherical and anamorphic cinematography. [Systems]","","YES",NA,NA,NA
"390",390,2008,"2008 (81st)","Scientific and Technical (Scientific and Engineering Award)","To BRUNO COUMERT and JACQUES DEBIZE for the optical design, and DOMINIQUE CHERVIN and CHRISTOPHE REBOULET for the mechanical design, of the compact and lightweight Angenieux 15-40 and 28-76 zoom lenses for handheld motion picture photography. With focus and zoom functions that can be easily controlled by either the operator or focus puller while filming handheld, these lightweight zoom lenses demonstrate a very high degree of engineering, supporting both ease of use and quick interchange. [Lenses and Filters]","","YES",NA,NA,NA
"391",391,2008,"2008 (81st)","Scientific and Technical (Technical Achievement Award)","To STEVE HYLÉN for the concept and his continued leadership in the further development of the Hylén Lens System for motion picture effects photography. When attached to a film or digital production camera, this versatile aerial image device can produce a wide variety of optical effects interactively, on set and in real time without post-production image manipulation. [Lenses and Filters]","","YES",NA,NA,NA
"392",392,2008,"2008 (81st)","Scientific and Technical (Gordon E. Sawyer Award)","Ed Catmull","","YES",NA,NA,NA
"393",393,2008,"2008 (81st)","Scientific and Technical (Bonner Medal)","To Mark Kimball in appreciation for outstanding service and dedication in upholding the high standards of the Academy of Motion Picture Arts and Sciences.","","YES",NA,NA,NA
"395",395,2007,"2007 (80th)","Actor -- Leading Role","Daniel Day-Lewis","There Will Be Blood {'Daniel Plainview'}","YES","There Will Be Blood","Daniel Day-Lewis","There Will Be Blood (2007)"
"400",400,2007,"2007 (80th)","Actor -- Supporting Role","Javier Bardem","No Country for Old Men {'Anton Chigurh'}","YES","No Country for Old Men","Javier Bardem","No Country for Old Men (2007)"
"406",406,2007,"2007 (80th)","Actress -- Leading Role","Marion Cotillard","La Vie en Rose {'Edith Piaf'}","YES","La Vie en Rose","Marion Cotillard","La Vie en Rose (2007)"
"413",413,2007,"2007 (80th)","Actress -- Supporting Role","Tilda Swinton","Michael Clayton {'Karen Crowder'}","YES","Michael Clayton","Tilda Swinton","Michael Clayton (2007)"
"415",415,2007,"2007 (80th)","Animated Feature Film","Ratatouille","Brad Bird","YES","Ratatouille","Brad Bird","Ratatouille (2007)"
"420",420,2007,"2007 (80th)","Art Direction","Sweeney Todd The Demon Barber of Fleet Street","Art Direction: Dante Ferretti; Set Decoration: Francesca Lo Schiavo","YES","Sweeney Todd The Demon Barber of Fleet Street","Art Direction: Dante Ferretti; Set Decoration: Francesca Lo Schiavo","Sweeney Todd The Demon Barber of Fleet Street (2007)"
"426",426,2007,"2007 (80th)","Cinematography","There Will Be Blood","Robert Elswit","YES","There Will Be Blood","Robert Elswit","There Will Be Blood (2007)"
"429",429,2007,"2007 (80th)","Costume Design","Elizabeth: The Golden Age","Alexandra Byrne","YES","Elizabeth: The Golden Age","Alexandra Byrne","Elizabeth: The Golden Age (2007)"
"435",435,2007,"2007 (80th)","Directing","No Country for Old Men","Joel Coen and Ethan Coen","YES","No Country for Old Men","Joel Coen and Ethan Coen","No Country for Old Men (2007)"
"440",440,2007,"2007 (80th)","Documentary (Feature)","Taxi to the Dark Side","Alex Gibney and Eva Orner","YES","Taxi to the Dark Side","Alex Gibney and Eva Orner","Taxi to the Dark Side (2007)"
"442",442,2007,"2007 (80th)","Documentary (Short Subject)","Freeheld","Cynthia Wade and Vanessa Roth","YES","Freeheld","Cynthia Wade and Vanessa Roth","Freeheld (2007)"
"446",446,2007,"2007 (80th)","Film Editing","The Bourne Ultimatum","Christopher Rouse","YES","The Bourne Ultimatum","Christopher Rouse","The Bourne Ultimatum (2007)"
"452",452,2007,"2007 (80th)","Foreign Language Film","The Counterfeiters","Austria","YES","The Counterfeiters","Austria","The Counterfeiters (2007)"
